Region,Kon,Alder,Fodelseregion,2022
2085 Ludvika,totalt,16-64 år,totalt,6.5
2101 Ockelbo,totalt,16-64 år,totalt,6.6
2104 Hofors,totalt,16-64 år,totalt,6.5
2121 Ovanåker,totalt,16-64 år,totalt,4.1
2132 Nordanstig,totalt,16-64 år,totalt,4.4
2161 Ljusdal,totalt,16-64 år,totalt,5.1
2180 Gävle,totalt,16-64 år,totalt,6.8
2181 Sandviken,totalt,16-64 år,totalt,8.8
2182 Söderhamn,totalt,16-64 år,totalt,8.0
2183 Bollnäs,totalt,16-64 år,totalt,7.4
2184 Hudiksvall,totalt,16-64 år,totalt,4.0
2260 Ånge,totalt,16-64 år,totalt,3.9
2262 Timrå,totalt,16-64 år,totalt,5.2
2280 Härnösand,totalt,16-64 år,totalt,7.0
2281 Sundsvall,totalt,16-64 år,totalt,4.6
2282 Kramfors,totalt,16-64 år,totalt,5.6
2283 Sollefteå,totalt,16-64 år,totalt,4.5
2284 Örnsköldsvik,totalt,16-64 år,totalt,3.9
2303 Ragunda,totalt,16-64 år,totalt,3.5
2305 Bräcke,totalt,16-64 år,totalt,4.3
2309 Krokom,totalt,16-64 år,totalt,1.9
2313 Strömsund,totalt,16-64 år,totalt,4.2
2321 Åre,totalt,16-64 år,totalt,2.4
2326 Berg,totalt,16-64 år,totalt,3.8
2361 Härjedalen,totalt,16-64 år,totalt,3.1
2380 Östersund,totalt,16-64 år,totalt,3.5
2401 Nordmaling,totalt,16-64 år,totalt,3.7
2403 Bjurholm,totalt,16-64 år,totalt,4.3
2404 Vindeln,totalt,16-64 år,totalt,2.7
2409 Robertsfors,totalt,16-64 år,totalt,2.4
2417 Norsjö,totalt,16-64 år,totalt,3.2
2418 Malå,totalt,16-64 år,totalt,3.0
2421 Storuman,totalt,16-64 år,totalt,2.7
2422 Sorsele,totalt,16-64 år,totalt,3.0
2425 Dorotea,totalt,16-64 år,totalt,2.9
2460 Vännäs,totalt,16-64 år,totalt,3.2
2462 Vilhelmina,totalt,16-64 år,totalt,3.7
2463 Åsele,totalt,16-64 år,totalt,5.0
2480 Umeå,totalt,16-64 år,totalt,2.9
2481 Lycksele,totalt,16-64 år,totalt,3.9
2482 Skellefteå,totalt,16-64 år,totalt,2.4
2505 Arvidsjaur,totalt,16-64 år,totalt,3.0
2506 Arjeplog,totalt,16-64 år,totalt,2.5
2510 Jokkmokk,totalt,16-64 år,totalt,2.2
2513 Överkalix,totalt,16-64 år,totalt,3.8
2514 Kalix,totalt,16-64 år,totalt,3.2
2518 Övertorneå,totalt,16-64 år,totalt,3.1
2521 Pajala,totalt,16-64 år,totalt,1.7
2523 Gällivare,totalt,16-64 år,totalt,2.0
2560 Älvsbyn,totalt,16-64 år,totalt,3.6
2580 Luleå,totalt,16-64 år,totalt,3.4
2581 Piteå,totalt,16-64 år,totalt,3.2
2582 Boden,totalt,16-64 år,totalt,3.1
2583 Haparanda,totalt,16-64 år,totalt,5.4
2584 Kiruna,totalt,16-64 år,totalt,1.7
